name	x	y	z	type	material
Iz	0	0	335	ring	Ag/AgCl
CS1	0	0	300	ring	Ag/AgCl
C1z	0	0	240	ring	Ag/AgCl
C21	-15	0	230	ring	Ag/AgCl
C22	15	0	230	ring	Ag/AgCl
C33	-30	0	220	ring	Ag/AgCl
C3z	0	0	220	ring	Ag/AgCl
C34	30	0	220	ring	Ag/AgCl
C41	-15	0	210	ring	Ag/AgCl
C42	15	0	210	ring	Ag/AgCl
C57	-50	0	200	ring	Ag/AgCl
C53	-30	0	200	ring	Ag/AgCl
C5z	0	0	200	ring	Ag/AgCl
C54	30	0	200	ring	Ag/AgCl
C58	50	0	200	ring	Ag/AgCl
C61	-15	0	190	ring	Ag/AgCl
C62	15	0	190	ring	Ag/AgCl
C73	-30	0	180	ring	Ag/AgCl
C7z	0	0	180	ring	Ag/AgCl
C74	30	0	180	ring	Ag/AgCl
C81	-15	0	170	ring	Ag/AgCl
C82	15	0	170	ring	Ag/AgCl
C97	-50	0	160	ring	Ag/AgCl
C93	-30	0	160	ring	Ag/AgCl
C9z	0	0	160	ring	Ag/AgCl
C94	30	0	160	ring	Ag/AgCl
C98	50	0	160	ring	Ag/AgCl
C101	-15	0	150	ring	Ag/AgCl
C102	15	0	150	ring	Ag/AgCl
C113	-30	0	140	ring	Ag/AgCl
C11z	0	0	140	ring	Ag/AgCl
C114	30	0	140	ring	Ag/AgCl
C121	-15	0	130	ring	Ag/AgCl
C122	15	0	130	ring	Ag/AgCl
C13z	0	0	120	ring	Ag/AgCl
CA1	0	0	n/a	ring	Ag/AgCl
CA2	0	0	n/a	ring	Ag/AgCl
CA3	0	0	n/a	ring	Ag/AgCl
TSz	0	0	60	ring	Ag/AgCl
TS6	0	0	0	ring	Ag/AgCl
